tRF	kruskal_p	kruskal_fdr
tRF-16-0RYNURD	0.260708826478862	0.260708826478862
tRF-22-7SERML921	0.00371599865997258	0.0111479959799177
tRF-22-7SIRMM121	0.00012862747648854	0.000771764858931241
tRF-23-7SIR3DR2DV	0.0121635971385371	0.0182453957078056
tRF-23-7SIRMM12V	0.00993890904922379	0.0182453957078056
tRF-25-RNLNKSEK51	0.0303240177108587	0.0363888212530304
